params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
40_25_100,5.13631010055542,0.0,0.026153087615966797,0.0,40,25,100,"{'module__num_units_2': 40, 'module__num_units_1': 25, 'batch_size': 100}",0.011873871243039513,0.011873871243039513,0.0,87,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
20_20_10000,21.902414083480835,0.0,0.07187199592590332,0.0,20,20,10000,"{'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 10000}",0.011389072594438332,0.011389072594438332,0.0,88,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
15_60_10000,10.648859024047852,0.0,0.023044109344482422,0.0,15,60,10000,"{'module__num_units_2': 15, 'module__num_units_1': 60, 'batch_size': 10000}",0.01117263951085401,0.01117263951085401,0.0,89,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
60_20_100,4.209964036941528,0.0,0.026859045028686523,0.0,60,20,100,"{'module__num_units_2': 60, 'module__num_units_1': 20, 'batch_size': 100}",0.011127715289033002,0.011127715289033002,0.0,90,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
10_40_10000,10.106071949005127,0.0,0.07102513313293457,0.0,10,40,10000,"{'module__num_units_2': 10, 'module__num_units_1': 40, 'batch_size': 10000}",0.010938567149129774,0.010938567149129774,0.0,91,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
15_15_10000,11.083651065826416,0.0,0.022179841995239258,0.0,15,15,10000,"{'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 10000}",0.010618484694110752,0.010618484694110752,0.0,92,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
20_40_100,9.17621397972107,0.0,0.028614044189453125,0.0,20,40,100,"{'module__num_units_2': 20, 'module__num_units_1': 40, 'batch_size': 100}",0.010597508543122691,0.010597508543122691,0.0,93,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
25_25_10000,10.825745105743408,0.0,0.021960973739624023,0.0,25,25,10000,"{'module__num_units_2': 25, 'module__num_units_1': 25, 'batch_size': 10000}",0.010361918033873985,0.010361918033873985,0.0,94,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
30_20_10000,11.845051050186157,0.0,0.022753000259399414,0.0,30,20,10000,"{'module__num_units_2': 30, 'module__num_units_1': 20, 'batch_size': 10000}",0.010351872992838018,0.010351872992838018,0.0,95,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
60_10_10000,18.771599054336548,0.0,0.023381948471069336,0.0,60,10,10000,"{'module__num_units_2': 60, 'module__num_units_1': 10, 'batch_size': 10000}",0.010301250891532554,0.010301250891532554,0.0,96,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
40_60_10000,8.938690900802612,0.0,0.07059478759765625,0.0,40,60,10000,"{'module__num_units_2': 40, 'module__num_units_1': 60, 'batch_size': 10000}",0.01024994523272793,0.01024994523272793,0.0,97,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
80_20_1000,3.93019700050354,0.0,0.023523807525634766,0.0,80,20,1000,"{'module__num_units_2': 80, 'module__num_units_1': 20, 'batch_size': 1000}",0.010150693577573033,0.010150693577573033,0.0,98,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
40_30_10000,22.36461615562439,0.0,0.07041215896606445,0.0,40,30,10000,"{'module__num_units_2': 40, 'module__num_units_1': 30, 'batch_size': 10000}",0.009932388244573431,0.009932388244573431,0.0,99,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
10_30_10000,13.138585090637207,0.0,0.022560834884643555,0.0,10,30,10000,"{'module__num_units_2': 10, 'module__num_units_1': 30, 'batch_size': 10000}",0.00985805495931702,0.00985805495931702,0.0,100,7,21,0.3072803973207552,0.3541008883123298,0.03795047619409553,0.025834160657875582,0.013262708915528498,0.21030566716255572,0.014677041210234165,2.220595121383667,0.04816436,0.0008604837
